Origin,Destination,MedianTimeSeconds,Frequency
AKOM akutteam 4,Röntgen Norr rum S16,577.0,4847
AKOM akutteam 1,Röntgen Norr rum S16,627.0,3328
Röntgen Norr rum S16,AKOM akutteam 4,474.5,2948
Röntgen Norr rum S16,AKOM akutteam 1,463.5,1992
Röntgen Norr rum S15,AKOM akutteam 4,439.5,1714
Röntgen Norr rum S15,AKOM akutteam 1,456.0,1122
Kirurgmottagningen Dagvård,Operation 1,562.0,886
AKOM akutteam 4,Avd 132 Kirurgi,1067.0,879
AKOM akutteam 4,Avd 137 Kirurgi,1038.0,814
UVA avdelning 95A,Avd 31 Plastik dagvård,967.0,683
PIVA avd 22,Avd 136 Kirurgi,1084.5,600
Strålbehandling Rum 4,Avd 54 Onkologi,995.0,559
Röntgen Norr rum S11,AKOM akutteam 4,519.0,557
PIVA avd 22,Avd 15/28 Ortopedi,766.0,547
Röntgen Norr rum S16,Avd 135 Stroke,844.0,521
Avd 18 Öron Näsa Hals,Operation 7 Öron Näsa Hals,381.5,520
UVA avdelning 95A,Avd 18 Öron Näsa Hals,1169.0,501
Avd 12 Thoraxkirurgi,Röntgen Söder rum S4,733.0,498
Avd 54 Onkologi,Strålbehandling Rum 4,527.0,495
KFU Klinisk Fysiologi Ultraljud,Avd 91 MAVA,950.0,487
UVA avdelning 95A,Avd 132 Kirurgi,1181.0,471
Cystoskopi Urologmottagningen,Operation 4,801.0,453
AKOM akutteam 4,Röntgen Norr rum S15,645.0,449
PIVA avd 22,Avd 138 Kärlkirurgi,959.0,445
UVA avdelning 95A,Avd 15/28 Ortopedi,1051.0,433
Avd 15/28 Ortopedi,Operation 8,265.0,428
AKOM team 3 OBS:en,Röntgen Norr rum S16,694.5,426
PIVA avd 22,Avd 137 Kirurgi,993.0,409
PIVA avd 22,Avd 132 Kirurgi,1066.0,408
PIVA avd 22,Avd 139 Transplantation,965.0,406
Avd 31 Plastik dagvård,Operation 7 Öron Näsa Hals,260.0,403
Avd 25 Thoraxkirurgi,Röntgen Söder rum S4,791.5,400
Avd 91 MAVA,KFU Klinisk Fysiologi Ultraljud,953.0,391
KFU Klinisk Fysiologi Ultraljud,Avd 135 Stroke,1314.5,378
Avd 135 Stroke,Röntgen Norr rum S16,773.0,375
AKOM akutteam 1,Avd 135 Stroke,1107.0,374
Röntgen Norr rum S11,AKOM akutteam 1,545.0,369
Avd 15/28 Ortopedi,Röntgen Söder rum S5,563.5,364
Kirurgmottagningen Dagvård,Operation 7 Öron Näsa Hals,681.0,357
Operation 4 Postop,Avd 30 Urologi,1442.5,356
AKOM akutteam 4,Röntgen Norr rum S11,611.0,354
AKOM akutteam 4,Avd 30 Urologi,1109.0,346
UVA avdelning 95A,Avd 14 Plastik,1089.5,344
Röntgen Norr rum S12,AKOM akutteam 1,507.0,337
UVA avdelning 95A,Kirurgmottagningen Dagvård,1287.0,337
Röntgen Söder rum S4,Avd 12 Thoraxkirurgi,967.0,333
Avd 26 Hjärtdagsjukvård,Intervention 3,339.0,330
Röntgen Norr rum S16,AKOM team 3 OBS:en,574.0,329
Strålbehandling Rum 5,Avd 54 Onkologi,1029.0,328
UVA avdelning 95A,Avd 136 Kirurgi,1125.0,327
Avd 31 Plastik dagvård,Operation 6 Plastikkirurgi,268.0,325
Röntgen Norr rum S16,Avd 132 Kirurgi,860.5,320
Avd 135 Stroke,KFU Klinisk Fysiologi Ultraljud,853.0,318
Avd 25 Thoraxkirurgi,Röntgen Norr rum S12,700.0,307
AKOM akutteam 1,Avd 19 specialist,1079.0,305
Röntgen Norr rum S16,Avd 137 Kirurgi,831.0,292
Avd 54 Onkologi,Strålbehandling Rum 5,561.0,291
AKOM team 3 OBS:en,Avd 34 Geriatrik,1746.0,290
Avd 32 Specialistmedicin,Röntgen Söder rum S4,840.0,287
Röntgen Plan 01 rum s18,Avd 135 Stroke,1105.5,282
AKOM akutteam 4,TVE Traumavårdsenhet,943.5,274
Röntgen Norr rum S12,Avd 25 Thoraxkirurgi,668.0,271
Röntgen Söder rum S4,Avd 25 Thoraxkirurgi,977.5,266
PIVA avd 22,Avd 14 Plastik,830.0,264
Röntgen Norr rum S12,Avd 12 Thoraxkirurgi,712.5,264
Röntgen Söder rum S6,Avd 15/28 Ortopedi,1105.0,259
AKOM team 3 OBS:en,Avd 16/29 medicin,1553.0,256
AKOM akutteam 1,Röntgen Norr rum S15,651.0,255
AKOM team 3 OBS:en,KFU Klinisk Fysiologi Ultraljud,937.0,255
